timestamp,run_id,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,action,distance_to_goal,astar_action
0,0,10,1,5,2,3,3,3,3,2,11.704699910719626,6
1,0,1,4,4,1,3,4,4,4,2,10.770329614269007,6
2,0,3,3,3,1,1,5,5,1,2,9.848857801796104,6
3,0,6,2,2,6,1,1,6,6,3,8.94427190999916,-1
4,0,9,1,3,5,4,5,1,7,3,7.615773105863909,6
5,0,2,8,6,4,4,4,3,8,3,6.324555320336759,6
6,0,6,2,5,3,1,2,5,9,2,5.0990195135927845,6
7,0,2,2,4,3,3,1,6,9,2,4.123105625617661,-1
8,0,2,2,3,3,3,3,7,3,2,3.1622776601683795,-1
9,0,2,2,2,3,3,3,8,2,2,2.23606797749979,-1
10,0,2,1,1,2,3,3,9,2,3,1.4142135623730951,-1
11,1,1,7,4,2,2,2,2,2,2,14.7648230602334,6
12,1,3,6,3,1,10,3,1,1,2,13.892443989449804,6
13,1,3,8,2,9,1,2,2,4,2,13.038404810405298,6
14,1,5,2,1,11,2,1,3,5,3,12.206555615733702,6
15,1,1,7,1,10,2,1,2,6,3,10.816653826391969,6
16,1,1,10,2,9,7,1,2,7,3,9.433981132056603,6
17,1,11,1,4,8,4,3,2,8,2,8.06225774829855,6
18,1,1,1,3,6,8,4,3,2,2,7.211102550927978,6
19,1,1,5,2,2,4,4,4,1,2,6.4031242374328485,6
20,1,3,8,1,5,8,6,5,1,3,5.656854249492381,6
21,1,1,1,4,4,1,5,8,2,3,4.242640687119285,-1
22,1,2,2,6,3,4,3,1,3,3,2.8284271247461903,6
23,1,14,2,2,2,5,4,9,4,3,1.4142135623730951,-1
24,2,4,1,1,1,7,1,5,4,6,15.0,6
25,2,2,2,2,2,1,7,4,1,6,14.0,6
26,2,1,3,3,1,8,3,3,1,6,13.0,6
27,2,1,1,4,4,7,2,2,4,7,12.0,6
28,2,1,2,1,5,5,1,10,3,6,11.04536101718726,-1
29,2,3,1,2,6,1,2,9,3,6,10.04987562112089,-1
30,2,3,3,3,1,2,3,8,3,6,9.055385138137416,-1
31,2,3,3,4,2,2,6,7,3,5,8.06225774829855,-1
32,2,4,4,3,1,6,5,9,4,6,7.0,-1
33,2,2,4,4,5,2,9,8,3,6,6.0,-1
34,2,4,4,5,4,7,2,7,4,6,5.0,-1
35,2,4,2,6,2,8,5,6,2,6,4.0,-1
36,2,3,4,7,3,2,1,5,4,6,3.0,6
37,2,2,4,8,8,1,4,4,1,6,2.0,6
38,2,1,4,9,1,4,3,3,4,6,1.0,6
39,3,1,1,3,1,1,1,1,7,7,9.433981132056603,6
40,3,5,6,1,2,1,2,5,6,7,8.06225774829855,6
41,3,8,6,5,3,3,3,14,5,7,6.708203932499369,-1
42,3,2,7,8,4,4,3,6,4,7,5.385164807134504,-1
